Epoch,Training Accuracy,Training Loss
150,98.0,0.036183972717262806
151,98.0,0.03782907912410641
152,98.0,0.03572212966857478
153,100.0,0.034018781192717146
154,98.0,0.0368501967783474
155,99.0,0.03687157485440063
156,99.0,0.035626285304315386
157,100.0,0.03602362695673946
158,100.0,0.03553626709637077
159,98.0,0.03556343683352073
160,97.0,0.03513089562611033
161,100.0,0.03545022818259895
162,99.0,0.03356673511133219
163,99.0,0.034766410613859385
164,100.0,0.03377600275368119
165,99.0,0.03468791670476397
166,100.0,0.03297348403507688
167,98.0,0.03352924128916735
168,99.0,0.03437316042700938
169,99.0,0.0335233497483811
170,99.0,0.031632045385582994
171,99.0,0.03361346535927927
172,98.0,0.03390704945360388
173,98.0,0.03279167826209838
174,99.0,0.03336603121172326
175,100.0,0.031166764609515667
176,99.0,0.033047099048465804
177,98.0,0.03266991468301664
178,99.0,0.03374610852372522
179,99.0,0.03290180218328411
180,98.0,0.03170155702299477
181,99.0,0.03225077379397893
182,100.0,0.03174070176416232
183,99.0,0.029477494086604564
184,98.0,0.03221750317791399
185,99.0,0.03196995468034099
186,100.0,0.03058714230292632
187,99.0,0.0298195104006057
188,98.0,0.02928763476704868
189,100.0,0.030352128116840807
190,100.0,0.03175654049235163
191,99.0,0.030955252393808527
192,100.0,0.03285449915875991
193,99.0,0.031108359435844855
194,100.0,0.029581340974157988
195,98.0,0.028393259816026938
196,99.0,0.029190261876598622
197,99.0,0.03181403980027729
198,100.0,0.03106109502943582
199,98.0,0.030331423676301105
200,99.0,0.03134010749791438
201,96.0,0.030776040417452653
202,99.0,0.029493228188754682
203,98.0,0.02931192601051104
204,100.0,0.03040112128908125
205,100.0,0.029484259763363906
206,99.0,0.02930083565239329
207,100.0,0.028523025966424028
208,99.0,0.02811573336851628
209,99.0,0.029320931741579747
210,100.0,0.030183191647326264
211,99.0,0.02984826487915901
212,100.0,0.030016678997684114
213,99.0,0.029607319152952793
214,100.0,0.02881810429467199
215,98.0,0.028348376636276953
216,99.0,0.026352870768556993
217,99.0,0.02780692804478652
218,100.0,0.029739330765247967
219,99.0,0.02842494221869856
220,99.0,0.02944147628246962
221,99.0,0.027745599414144333
222,99.0,0.0276467142245383
223,98.0,0.02730886848604617
224,100.0,0.025503728361218236
225,99.0,0.025581779079317735
226,100.0,0.028330918523521785
227,99.0,0.02657890144813185
228,100.0,0.027647136504335017
229,99.0,0.028839188105193897
230,99.0,0.028220388728077524
231,99.0,0.026414802155438035
232,98.0,0.025585377175205697
233,99.0,0.02700998786953278
234,97.0,0.02677331752415436
235,99.0,0.026581392850882065
236,100.0,0.025677625993072675
237,99.0,0.027337747025303543
238,100.0,0.026961456015318012
239,99.0,0.0269362081506794
240,99.0,0.025624756040924693
241,100.0,0.025317467261338607
242,98.0,0.027381675057695246
243,100.0,0.0261524753801253
244,99.0,0.025102821267112933
245,100.0,0.02734685633253927
246,99.0,0.024083666095830267
247,100.0,0.0240600246040655
248,99.0,0.02556339778122492
249,100.0,0.026195689708789965
250,99.0,0.026078164116770493
251,99.0,0.02732369559991639
252,100.0,0.024010158250360594
253,99.0,0.0260734358249465
254,100.0,0.024331922719041662
255,99.0,0.02555280199526654
256,98.0,0.02457376461616756
257,99.0,0.025400049193849555
258,100.0,0.024466110174544156
259,99.0,0.02489075986619961
260,99.0,0.02371903485468162
261,100.0,0.024840200633722512
262,99.0,0.023828917526407166
263,100.0,0.02381996205454925
264,99.0,0.02428421415206685
265,99.0,0.02483844954467107
266,100.0,0.026140279196600506
267,100.0,0.025232565499221284
268,99.0,0.02445798037137138
269,99.0,0.024529011495954666
270,100.0,0.023842905142713183
271,100.0,0.023576052297333564
272,98.0,0.02348091788473539
273,100.0,0.022957060700379468
274,100.0,0.023658422742531306
275,99.0,0.024598857026624805
276,98.0,0.02516959391514926
277,100.0,0.02222616365387997
278,100.0,0.025138715446034136
279,98.0,0.02391365719823322
280,99.0,0.023494928753352726
281,100.0,0.024745060643957307
282,99.0,0.021828708202325894
283,99.0,0.022793998327106237
284,100.0,0.024617109400957512
285,99.0,0.023750422900387397
286,99.0,0.02249695902307091
287,99.0,0.02436889080844897
288,99.0,0.022399701445926137
289,100.0,0.023336519228857166
290,99.0,0.02444377341424115
291,100.0,0.02360310806242827
292,98.0,0.022246718544338365
293,100.0,0.02285576549640003
294,98.0,0.023200618212091892
295,100.0,0.0233322500854653
296,99.0,0.0235227655497935
297,100.0,0.022187028042487025
298,98.0,0.021822226613876408
299,100.0,0.02351289752521552
300,99.0,0.021579325840090556
301,98.0,0.02241438039985951
302,100.0,0.024316239007312106
303,99.0,0.02112797146498148
304,100.0,0.02274050648785002
305,98.0,0.021900139225763268
306,100.0,0.021518805766584895
307,99.0,0.023428574434607677
308,100.0,0.021518598114295552
309,100.0,0.02328439454223068
310,100.0,0.02302556545677362
311,99.0,0.019981068524114864
312,100.0,0.02176085705422641
313,99.0,0.021508130127428256
314,97.0,0.023958811812869196
315,100.0,0.021758000766809952
316,100.0,0.021401461999388024
317,99.0,0.021748015297707753
318,100.0,0.023676129455173698
319,98.0,0.02237158682672695
320,99.0,0.020953647699789146
321,98.0,0.02280873126767498
322,99.0,0.020035839312622556
323,100.0,0.023320563081457902
324,100.0,0.021109694330079948
325,99.0,0.020444163507781922
326,100.0,0.021814998411718987
327,100.0,0.020453868709737436
328,100.0,0.021158647797710727
329,99.0,0.021180147949780802
330,98.0,0.02099512081750921
331,99.0,0.02000374432420358
332,100.0,0.020238247930125606
333,98.0,0.0222696518645292
334,99.0,0.0217581206310327
335,100.0,0.023293252766695027
336,100.0,0.020632008754085593
337,98.0,0.021357271096106464
338,100.0,0.021440697495563654
339,99.0,0.020640310115898803
340,99.0,0.02206159376524738
341,98.0,0.020800577957658484
342,100.0,0.020971150161058175
343,100.0,0.020930901998168945
344,100.0,0.019433078187284993
345,99.0,0.021879684878367698
346,100.0,0.02153836958508085
347,100.0,0.019981791526564242
348,98.0,0.019209235072582185
349,100.0,0.020055855689327776
350,98.0,0.02118021896269056
351,100.0,0.019835471145537062
352,98.0,0.020869453945949013
353,98.0,0.02061317236366449
354,100.0,0.021015712756343417
355,99.0,0.021349060169304723
356,98.0,0.019119423405451624
